Name, DOB, Term, Party, Election, Vice-President, Img 
Grover Cleveland,(1837–1908),"March 4, 1885–March 4, 1889","Democratic", "1884", "Thomas A. Hendricks[e],Vacant afterNovember 25, 1885",  https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/160px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg 
Benjamin Harrison,(1833–1901),"March 4, 1889–March 4, 1893","Republican", "1888", "Levi P. Morton",  https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg/160px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg 
Grover Cleveland,(1837–1908),"March 4, 1893–March 4, 1897","Democratic", "1892", "Adlai Stevenson I",  https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/160px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg 
William McKinley,(1843–1901),"March 4, 1897–September 14, 1901[e]","Republican", "1896,1900", "Garret Hobart[e],Vacant afterNovember 21, 1899,Theodore Roosevelt",  https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mckinley.jpg/160px-Mckinley.jpg 
Theodore Roosevelt,(1858–1919),"September 14, 1901[p]–March 4, 1909","Republican", "–,1904", "Vacant throughMarch 4, 1905,Charles W. Fairbanks",  https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/President_Roosevelt_-_Pach_Bros.jpg/160px-President_Roosevelt_-_Pach_Bros.jpg 
William Howard Taft,(1857–1930),"March 4, 1909–March 4, 1913","Republican", "1908", "James S. Sherman[e],Vacant afterOctober 30, 1912",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/William_Howard_Taft_-_Harris_and_Ewing.jpg/160px-William_Howard_Taft_-_Harris_and_Ewing.jpg 
Woodrow Wilson,(1856–1924),"March 4, 1913–March 4, 1921","Democratic", "1912,1916", "Thomas R. Marshall",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg/160px-Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg 
Warren G. Harding,(1865–1923),"March 4, 1921–August 2, 1923[e]","Republican", "1920", "Calvin Coolidge",  https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Warren_G_Harding-Harris_%26_Ewing.jpg/160px-Warren_G_Harding-Harris_%26_Ewing.jpg 
Calvin Coolidge,(1872–1933),"August 2, 1923[q]–March 4, 1929","Republican", "–,1924", "Vacant throughMarch 4, 1925,Charles G. Dawes",  https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Calvin_Coolidge_cph.3g10777_%28cropped%29.jpg/160px-Calvin_Coolidge_cph.3g10777_%28cropped%29.jpg 
Herbert Hoover,(1874–1964),"March 4, 1929–March 4, 1933","Republican", "1928", "Charles Curtis",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/President_Hoover_portrait.jpg/160px-President_Hoover_portrait.jpg 
Franklin D. Roosevelt,(1882–1945),"March 4, 1933–April 12, 1945[e]","Democratic", "1932,1936,1940,1944", "John Nance Garner,Henry A. Wallace,Harry S. Truman",  https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/FDR_1944_Color_Portrait.jpg/160px-FDR_1944_Color_Portrait.jpg 
Harry S. Truman,(1884–1972),"April 12, 1945[r]–January 20, 1953","Democratic", "–,1948", "Vacant throughJanuary 20, 1949,Alben W. Barkley",  https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/TRUMAN_58-766-06_%28cropped%29.jpg/160px-TRUMAN_58-766-06_%28cropped%29.jpg 
Dwight D. Eisenhower,(1890–1969),"January 20, 1953–January 20, 1961","Republican", "1952,1956", "Richard Nixon",  https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg/160px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg 
